geo_code,store_geo_code,store_option_id,population,retail_market,is_open,distance,drive_time,agg_beta,alpha,beta,turnover_no_competition,local_market_share_fraction,turnover_w_competition,competition_impact,turnover
60883003,60882905,1,3181.22326023,11247119.85222152,False,551.7,1.1034,3.4000000000000004,1,1.0,8749494.440878393,0.22727272727272727,2556163.6027776184,0.29214986306351615,2556163.6027776184
60883003,60880301,1,3181.22326023,11247119.85222152,False,6011.3,12.0226,3.4000000000000004,1,0.5786439999999999,3588910.9563644785,0.14543749076318463,1635752.8896198978,0.45577973639025443,1635752.8896198978
60883003,60883101,1,3181.22326023,11247119.85222152,False,2354.5,4.709,3.4000000000000004,1,1.0,7938442.134094994,0.22727272727272727,2556163.6027776184,0.32199814013874256,2556163.6027776184
60883003,60882104,1,3181.22326023,11247119.85222152,False,3136.5,6.273,3.4000000000000004,1,0.92362,7013928.882242384,0.21362191867000338,2402631.3223430463,0.3425514234149056,2402631.3223430463
60883003,60881801,1,3181.22326023,11247119.85222152,False,4454.5,8.909,3.4000000000000004,1,0.7654599999999999,5235084.4064150285,0.18376361794375648,2066811.4354912743,0.394800021363289,2066811.4354912743
60883003,60880604,1,3181.22326023,11247119.85222152,False,7251.8,14.5036,3.4000000000000004,1,0.42978399999999994,2472746.7822300144,0.11222147254257679,1262168.3516791477,0.510431703217455,1262168.3516791477
60883003,60880701,1,3181.22326023,11247119.85222152,False,7142.9,14.2858,3.4000000000000004,1,0.4428519999999999,2570731.6903825686,0.1152404516229092,1296123.1712269958,0.504184538618307,1296123.1712269958
60883003,60880303,1,3181.22326023,11247119.85222152,False,6065.9,12.1318,3.4000000000000004,1,0.5720919999999999,3539783.5368499747,0.14402788253645682,1619898.8569492127,0.45762653000831455,1619898.8569492127
60883003,60882401,1,3181.22326023,11247119.85222152,False,3840.6,7.6812,3.4000000000000004,1,0.839128,6063637.231688485,0.19794825728310161,2226347.7742014253,0.36716374828074516,2226347.7742014253
60883003,60881505,1,3181.22326023,11247119.85222152,False,5341.9,10.6838,3.4000000000000004,1,0.658972,4191216.7186906454,0.1623494815928762,1825964.0774211104,0.43566443827117335,1825964.0774211104
60883003,60883301,1,3181.22326023,11247119.85222152,False,6045.8,12.0916,3.4000000000000004,1,0.5745039999999999,3557868.905572348,0.14454734477559963,1625741.3110115554,0.4569424434006866,1625741.3110115554
