Id,Description,Fixed Duration,Long Name,Module,Task Type,Transition End Type,Transition Start Type
Plane3_2AJ430-01-950WA,Plane3|2|01,1080,Plane3_2AJ430-01-950WA,Plane3_01,JOB,,
Plane3_2AJ430-01-951WA,Plane3|2|01,2880,Plane3_2AJ430-01-951WA,Plane3_01,JOB,,
Plane3_2AJ430-01-989UB,Plane3|2|01,25920,Plane3_2AJ430-01-989UB,Plane3_01,JOB,,
Plane3_2AJ430-02-013UA,Plane3|3|02,20880,Plane3_2AJ430-02-013UA,Plane3_02,JOB,,
Plane3_2AJ430-02-017UA,Plane3|3|02,27000,Plane3_2AJ430-02-017UA,Plane3_02,JOB,,
Plane3_2AJ430-02-029WA,Plane3|3|02,10800,Plane3_2AJ430-02-029WA,Plane3_02,JOB,,
Plane3_2AJ430-02-031WA,Plane3|3|02,12600,Plane3_2AJ430-02-031WA,Plane3_02,JOB,,
Plane3_2AJ430-02-104YA,Plane3|3|02,34200,Plane3_2AJ430-02-104YA,Plane3_02,JOB,,
Plane3_2AJ430-02-105Y,Plane3|3|02,16200,Plane3_2AJ430-02-105Y,Plane3_02,JOB,,
Plane3_2AJ430-02-106YA,Plane3|3|02,37800,Plane3_2AJ430-02-106YA,Plane3_02,JOB,,
Plane3_2AJ430-02-107YA,Plane3|3|02,20520,Plane3_2AJ430-02-107YA,Plane3_02,JOB,,
Plane3_2AJ430-02-108YA,Plane3|3|02,29880,Plane3_2AJ430-02-108YA,Plane3_02,JOB,,
Plane3_2AJ430-02-109Y,Plane3|3|02,23400,Plane3_2AJ430-02-109Y,Plane3_02,JOB,,
Plane3_2AJ430-02-116UA,Plane3|3|02,18000,Plane3_2AJ430-02-116UA,Plane3_02,JOB,,
Plane3_2AJ430-02-118U,Plane3|3|02,27000,Plane3_2AJ430-02-118U,Plane3_02,JOB,,
Plane3_2AJ430-02-144UA,Plane3|3|02,30239,Plane3_2AJ430-02-144UA,Plane3_02,JOB,,
Plane3_2AJ430-02-145U,Plane3|3|02,9000,Plane3_2AJ430-02-145U,Plane3_02,JOB,,
Plane3_2AJ430-02-147U,Plane3|3|02,32400,Plane3_2AJ430-02-147U,Plane3_02,JOB,,
Plane3_2AJ430-02-148UB,Plane3|3|02,28800,Plane3_2AJ430-02-148UB,Plane3_02,JOB,,
Plane3_2AJ430-02-1MV2A,Plane3|3|02,14400,Plane3_2AJ430-02-1MV2A,Plane3_02,JOB,,
Plane3_2AJ430-02-201C,Plane3|3|02,14400,Plane3_2AJ430-02-201C,Plane3_02,JOB,,
Plane3_2AJ430-02-202C,Plane3|3|02,19800,Plane3_2AJ430-02-202C,Plane3_02,JOB,,
Plane3_2AJ430-02-203C,Plane3|3|02,7200,Plane3_2AJ430-02-203C,Plane3_02,JOB,,
Plane3_2AJ430-02-251W,Plane3|3|02,1440,Plane3_2AJ430-02-251W,Plane3_02,JOB,,
Plane3_2AJ430-02-253C,Plane3|3|02,10800,Plane3_2AJ430-02-253C,Plane3_02,JOB,,
Plane3_2AJ430-02-304Y,Plane3|3|02,28440,Plane3_2AJ430-02-304Y,Plane3_02,JOB,,
Plane3_2AJ430-02-305Y,Plane3|3|02,21600,Plane3_2AJ430-02-305Y,Plane3_02,JOB,,
Plane3_2AJ430-02-306Y,Plane3|3|02,21600,Plane3_2AJ430-02-306Y,Plane3_02,JOB,,
Plane3_2AJ430-02-307Y,Plane3|3|02,28800,Plane3_2AJ430-02-307Y,Plane3_02,JOB,,
Plane3_2AJ430-02-311U,Plane3|3|02,12600,Plane3_2AJ430-02-311U,Plane3_02,JOB,,
Plane3_2AJ430-02-313UA,Plane3|3|02,16200,Plane3_2AJ430-02-313UA,Plane3_02,JOB,,
Plane3_2AJ430-02-317U,Plane3|3|02,7200,Plane3_2AJ430-02-317U,Plane3_02,JOB,,
Plane3_2AJ430-02-319U,Plane3|3|02,16200,Plane3_2AJ430-02-319U,Plane3_02,JOB,,
Plane3_2AJ430-02-321U,Plane3|3|02,10800,Plane3_2AJ430-02-321U,Plane3_02,JOB,,
Plane3_2AJ430-02-327U,Plane3|3|02,14400,Plane3_2AJ430-02-327U,Plane3_02,JOB,,
Plane3_2AJ430-02-329U,Plane3|3|02,14400,Plane3_2AJ430-02-329U,Plane3_02,JOB,,
