_0CanalsId.id,_0CanalsId.fromNode,_0CanalsId.toNode,_0CanalsId.fromNodeType,_0CanalsId.toNodeType,_0CanalsId.minInputFlow,_0CanalsId.maxInputFlow,_0CanalsId.initialInputFlow,_0CanalsId.initialOutputFlow,_0CanalsId.operationCost,_0CanalsId.hydroelectricEfficiency,_0CanalsId.hydroelectricHeight,_0CanalsId.waveTripTime,_0CanalsId.waveFading,_0CanalsId.name,_1PeriodsValue,value
8,7,8,2,2,0.1,6,0.191,0.191,0,100,0,5483,0.2,Canal 8,24,2.009
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,1,0.191
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,2,0.191
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,3,0.191
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,4,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,5,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,6,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,7,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,8,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,9,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,10,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,11,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,12,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,13,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,14,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,15,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,16,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,17,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,18,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,19,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,20,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,21,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,22,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,23,0.4906
9,7,4,2,4,0.1,6,0.191,0.191,2500,100,0,5483,0.2,Canal 9,24,0.4906
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,1,0.191
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,2,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,3,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,4,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,5,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,6,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,7,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,8,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,9,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,10,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,11,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,12,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,13,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,14,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,15,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,16,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,17,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,18,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,19,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,20,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,21,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,22,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,23,0.4583
10,8,5,2,4,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 10,24,1.2
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,1,2.809
