"_0TanksId.id","_0TanksId.maximumCapacity","_0TanksId.alarmLevelDown","_0TanksId.alarmLevelUp","_0TanksId.warningLevelDown","_0TanksId.warningLevelHigh","_0TanksId.nbHoursInputRequired","_0TanksId.initialVolume","_0TanksId.warningLevelInputPenalty","_0TanksId.alarmLevelInputPenalty","_0TanksId.minReserveHoursPenalty","_0TanksId.name","_1PeriodsValue",volume,outFlow,inFlow
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,9,9269,0.6100,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,10,9888,0.5830,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,11,1.058E+4,0.5640,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,12,1.125E+4,0.5680,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,13,1.213E+4,0.5100,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,14,1.306E+4,0.4970,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,15,1.407E+4,0.4750,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,16,1.504E+4,0.4850,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,17,1.596E+4,0.4990,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,18,1.674E+4,0.5380,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,19,1.728E+4,0.6060,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,20,1.700E+4,0.8320,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,21,1.681E+4,0.8070,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,22,1.701E+4,0.6980,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,23,1.759E+4,0.5960,0.7549
2,1.840E+4,1840,1.820E+4,3680,1.800E+4,0,1.250E+4,1,2,0,Tank 2,24,1.840E+4,0.5290,0.7549
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,1,7578,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,2,7905,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,3,8233,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,4,8560,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,5,8888,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,6,9216,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,7,9543,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,8,9871,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,9,1.020E+4,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,10,1.053E+4,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,11,1.085E+4,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,12,1.118E+4,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,13,1.151E+4,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,14,1.184E+4,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,15,1.216E+4,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,16,1.249E+4,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,17,1.282E+4,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,18,1.315E+4,0.1000,0.1910
