customer_geo_code,store_geo_code,store_option_id,population,retail_market,drive_time,turnover,alpha,beta,is_open,baseline_turnover,baseline_drive_time,incremental_revenue,market_share
60880603,60881004,1,2962.84360627,10355495.0059,1.4706,7979820.18559,1,1.0,False,7562203.78299,3.487,417616.402597,22.9412
60880604,60880507,1,2722.6181546,9157339.23659,1.1246,7119904.51516,1,1.0,False,6699033.20385,3.4226,420871.311314,22.2492
60880605,60881004,1,1329.29404226,3304765.3691,1.3462,2554834.79249,1,1.0,False,2324730.58937,4.8276,230104.20312,22.6924
60880701,60880507,1,2361.25578474,6389373.93772,0.6342,5030456.33115,1,1.0,False,4746538.11085,2.856,283918.220297,21.2684
60880702,60881004,1,3872.62192814,10832567.8449,2.143,8201770.41812,1,1.0,False,7592460.14198,4.9554,609310.276142,24.286
60880801,60880507,1,1658.04159525,3798157.56848,2.129,2876800.50552,1,1.0,False,2776468.37519,3.4498,100332.130329,24.258
60880901,60880902,1,2374.90474825,7302999.73025,0.5938,5755669.3594,1,1.0,False,4507761.9775,6.3792,1247907.38191,21.1876
60880902,60880902,1,2031.71137536,7114576.61957,0.0,5691661.29566,1,1.0,False,4212256.23338,6.799,1479405.06227,20.0
60880903,60880902,1,1690.06723802,3906632.97519,2.3606,2940866.42413,1,1.0,False,1761797.71262,9.1504,1179068.71151,24.7212
60880904,60880902,1,1180.24201298,3413911.83027,0.7284,2681395.59667,1,1.0,False,1988426.11772,6.9592,692969.478956,21.4568
60880905,60880902,1,2249.77521629,6223350.12597,0.9442,4861158.357,1,1.0,False,3393866.6511,7.5776,1467291.7059,21.8884
60881001,60881004,1,2029.90437798,5287879.22109,0.979,4126766.70172,1,1.0,False,3814062.6761,3.9358,312704.025618,21.958
60881002,60881004,1,1912.23612608,5136444.06703,1.7152,3932954.67635,1,1.0,False,3642231.94215,4.5452,290722.734194,23.4304
60881003,60881004,1,1546.71904732,4058620.80402,1.0422,3162298.75118,1,1.0,False,2743725.07042,5.3996,418573.68076,22.0844
60881004,60881004,1,3070.21274838,8423690.50148,0.0,6738952.40118,1,1.0,False,5913363.34251,4.9004,825589.058669,20.0
60881005,60881004,1,3047.82739509,7626733.47233,1.6554,5848880.88606,1,1.0,False,4803225.22007,6.1702,1045655.66599,23.3108
60881101,60881303,1,3207.70396495,11242577.5557,1.118,8742678.01043,1,1.0,False,7609696.01468,5.3856,1132981.99576,22.236
60881102,60881303,1,3147.88485838,10060857.2093,0.9656,7854390.49303,1,1.0,False,7046060.9814,4.9828,808329.511625,21.9312
60881103,60881303,1,2600.01106248,7155184.92451,1.5116,5507832.38897,1,1.0,False,5045407.09767,4.743,462425.291301,23.0232
60881104,60881303,1,1784.05142653,5227337.31764,1.2538,4050789.14353,1,1.0,False,3756824.60214,4.0656,293964.541395,22.5076
60881105,60881004,1,2076.43980564,6058236.23348,1.7536,4634114.52561,1,1.0,False,4276751.28667,4.703,357363.238941,23.5072
60881201,60881303,1,2760.5023838,7482368.25791,2.2158,5654305.97461,1,1.0,False,5550121.47899,2.912,104184.495623,24.4316
60881202,60881303,1,1245.46238528,4055733.21434,1.34,3135892.92133,1,1.0,False,2990373.2136,3.134,145519.707731,22.68
60881203,60881303,1,1991.68504373,5640198.5768,1.873,4300877.02275,1,1.0,False,4227870.29237,2.5202,73006.7303781,23.746
60881204,60883701,1,3625.3794978,10568657.8523,1.6892,8097874.74498,1,1.0,True,8097874.74498,1.6892,0.0,23.3784
60881301,60881303,1,2347.42881696,7053579.41584,1.0336,5497051.93898,1,1.0,False,4954264.89578,4.8812,542787.043207,22.0672
60881302,60881303,1,2414.88486413,8377917.57284,0.6298,6596805.80852,1,1.0,False,5903918.51358,4.765,692887.294944,21.2596
60881303,60881303,1,2211.66630447,6883443.05292,0.0,5506754.44234,1,1.0,False,4918109.92622,4.2758,588644.516114,20.0
60881304,60881303,1,1803.74616654,5827197.86243,0.6472,4586331.04081,1,1.0,False,4237514.97676,3.6402,348816.064045,21.2944
60881305,60881303,1,2390.53157737,8421443.24735,0.6146,6633638.21748,1,1.0,False,6103626.26527,3.7614,530011.952215,21.2292
60881306,60881303,1,1677.04931339,5400981.95547,1.1938,4191831.71921,1,1.0,False,3817889.33254,4.6556,373942.386669,22.3876
60881307,60881303,1,2223.1781405,6186513.19694,1.4742,4766807.40246,1,1.0,False,4547161.43791,3.2494,219645.964544,22.9484
