dcId,productId,customerId,ship
2301,SKU 1099,62301,0.0
2301,SKU 1099,63021,0.0
2301,SKU 1099,63031,0.0
2301,SKU 1099,63129,0.0
2301,SKU 1099,63136,0.0
2301,SKU 1099,63366,0.0
2301,SKU 1099,63376,0.0
2301,SKU 1099,65807,0.0
2301,SKU 1099,66062,0.0
2301,SKU 1099,70065,0.0
2301,SKU 1099,70072,0.0
2301,SKU 1099,70117,0.0
2301,SKU 1099,72032,0.0
2301,SKU 1099,75023,0.0
2301,SKU 1099,75052,0.0
2301,SKU 1099,75150,0.0
2301,SKU 1099,75217,0.0
2301,SKU 1099,76180,0.0
2301,SKU 1099,77084,0.0
2301,SKU 1099,77478,0.0
2301,SKU 1099,78250,0.0
2301,SKU 1099,78501,0.0
2301,SKU 1099,78521,0.0
2301,SKU 1099,78539,0.0
2301,SKU 1099,78550,0.0
2301,SKU 1099,78572,0.0
2301,SKU 1099,78577,0.0
2301,SKU 1099,78596,0.0
2301,SKU 1099,78666,0.0
2301,SKU 1099,78745,0.0
2301,SKU 1099,79936,0.0
2301,SKU 1099,80013,0.0
2301,SKU 1099,80126,0.0
2301,SKU 1099,80219,0.0
2301,SKU 1099,80501,0.0
2301,SKU 1099,80906,0.0
2301,SKU 1099,84118,0.0
2301,SKU 1099,84604,0.0
2301,SKU 1099,85032,0.0
2301,SKU 1099,85204,0.0
2301,SKU 1099,85225,0.0
2301,SKU 1099,85254,0.0
2301,SKU 1099,85282,0.0
2301,SKU 1099,85308,0.0
2301,SKU 1099,85364,0.0
2301,SKU 1099,85706,0.0
2301,SKU 1099,87111,0.0
2301,SKU 1099,87124,0.0
2301,SKU 1099,87505,0.0
2301,SKU 1099,88201,0.0
2301,SKU 1099,89014,0.0
2301,SKU 1099,89108,0.0
2301,SKU 1099,90011,0.0
2301,SKU 1099,90201,0.0
2301,SKU 1099,90221,0.0
2301,SKU 1099,90250,0.0
2301,SKU 1099,90255,0.0
2301,SKU 1099,90262,0.0
2301,SKU 1099,90280,0.0
2301,SKU 1099,90630,0.0
2301,SKU 1099,90631,0.0
2301,SKU 1099,90640,0.0
2301,SKU 1099,90650,0.0
2301,SKU 1099,90660,0.0
2301,SKU 1099,90703,0.0
2301,SKU 1099,90706,0.0
2301,SKU 1099,90723,0.0
