customer_geo_code,store_geo_code,store_option_id,population,retail_market,drive_time,turnover,alpha,beta,is_open,baseline_turnover,baseline_drive_time,incremental_revenue,market_share
60881004,60880702,1,3070.21274838,8423690.50148,2.143,6377913.02629,1,1.0,False,5913363.34251,4.9004,464549.683775,24.286
60881005,60880702,1,3047.82739509,7626733.47233,1.8164,5824322.80428,1,1.0,False,4803225.22007,6.1702,1021097.58421,23.6328
60881101,60881504,1,3207.70396495,11242577.5557,1.4712,8663260.44258,1,1.0,False,7609696.01468,5.3856,1053564.4279,22.9424
60881102,60881504,1,3147.88485838,10060857.2093,2.1854,7608945.82055,1,1.0,False,7046060.9814,4.9828,562884.839147,24.3708
60881103,60881504,1,2600.01106248,7155184.92451,3.0654,5285477.86226,1,1.0,False,5045407.09767,4.743,240070.764587,26.1308
60881104,60881504,1,1784.05142653,5227337.31764,3.275,3839479.25981,1,1.0,False,3756824.60214,4.0656,82654.6576665,26.55
60881105,60880702,1,2076.43980564,6058236.23348,3.5554,4415799.9247,1,1.0,False,4276751.28667,4.703,139048.638031,27.1108
60881201,60883701,1,2760.5023838,7482368.25791,2.912,5550121.47899,1,1.0,True,5550121.47899,2.912,0.0,25.824
60881202,60883701,1,1245.46238528,4055733.21434,3.134,2990373.2136,1,1.0,True,2990373.2136,3.134,0.0,26.268
60881203,60883701,1,1991.68504373,5640198.5768,2.5202,4227870.29237,1,1.0,True,4227870.29237,2.5202,0.0,25.0404
60881204,60883701,1,3625.3794978,10568657.8523,1.6892,8097874.74498,1,1.0,True,8097874.74498,1.6892,0.0,23.3784
60881301,60881504,1,2347.42881696,7053579.41584,1.592,5418277.56407,1,1.0,False,4954264.89578,4.8812,464012.668291,23.184
60881302,60881504,1,2414.88486413,8377917.57284,1.7188,6414334.76379,1,1.0,False,5903918.51358,4.765,510416.250208,23.4376
60881303,60881504,1,2211.66630447,6883443.05292,2.306,5189290.04874,1,1.0,False,4918109.92622,4.2758,271180.122513,24.612
60881304,60881504,1,1803.74616654,5827197.86243,2.939,4319235.59959,1,1.0,False,4237514.97676,3.6402,81720.6228227,25.878
60881305,60881504,1,2390.53157737,8421443.24735,2.7108,6280577.63078,1,1.0,False,6103626.26527,3.7614,176951.365513,25.4216
60881306,60881504,1,1677.04931339,5400981.95547,1.902,4115332.21079,1,1.0,False,3817889.33254,4.6556,297442.878252,23.804
60881307,60883701,1,2223.1781405,6186513.19694,3.2494,4547161.43791,1,1.0,True,4547161.43791,3.2494,0.0,26.4988
60881308,60883701,1,2061.43699505,5862821.33766,2.3076,4419676.13975,1,1.0,True,4419676.13975,2.3076,0.0,24.6152
60881309,60881504,1,2518.88832536,6988791.6087,2.9378,5180399.8472,1,1.0,False,5098910.53704,3.5208,81489.3101575,25.8756
60881401,60881504,1,2209.24864102,7593593.05371,0.8984,5938432.76298,1,1.0,False,5052442.69985,5.5774,885990.063135,21.7968
60881402,60881504,1,2298.55165169,7691075.50799,0.5412,6069612.2051,1,1.0,False,5053436.54468,5.7158,1016175.66042,21.0824
60881403,60881504,1,2206.69884731,7052355.65785,1.1978,5472938.29414,1,1.0,False,4639519.11192,5.7022,833419.182222,22.3956
60881404,60881504,1,1652.46584277,4766538.36573,1.6866,3652445.82043,1,1.0,False,3147135.5552,5.6624,505310.265228,23.3732
60881501,60881504,1,1873.98377919,5848985.42514,1.2422,4533876.14621,1,1.0,False,4187569.41716,4.2026,346306.729052,22.4844
60881502,60881504,1,1995.71334527,6761423.7023,0.7708,5304904.85404,1,1.0,False,4798447.17305,4.516,506457.680997,21.5416
60881503,60881504,1,1997.15817384,7099798.94888,0.5382,5603416.92322,1,1.0,False,5009958.92868,4.7176,593457.994539,21.0764
60881504,60881504,1,1807.45544199,6254476.90254,0.0,5003581.52203,1,1.0,False,4307057.95626,5.1894,696523.565775,20.0
60881505,60881504,1,2267.52340193,7178214.7086,0.6656,5647015.37268,1,1.0,False,4821118.70117,5.4728,825896.671513,21.3312
60881506,60881504,1,1910.32684442,6662098.62909,0.8598,5215117.45525,1,1.0,False,4649478.63324,5.035,565638.822005,21.7196
60881601,60881504,1,2069.68965276,6194611.09932,2.62,4631091.25785,1,1.0,False,4605321.67568,2.828,25769.5821732,25.24
60881602,60880501,1,2255.76493577,6351363.32912,1.8596,4844870.75836,1,1.0,True,4844870.75836,1.8596,0.0,23.7192
60881603,60881504,1,3108.06309611,8891993.87844,2.6562,6641216.81995,1,1.0,False,6627665.42128,2.7324,13551.3986707,25.3124
60881604,60881504,1,2766.33017025,7894038.76393,2.072,5988102.04476,1,1.0,False,5816011.99971,3.162,172090.045054,24.144
60881605,60881504,1,1836.0955259,5312140.9946,1.3184,4109642.26193,1,1.0,False,3838021.8686,3.875,271620.393336,22.6368
60881606,60881504,1,2543.30169253,6830080.80494,1.6574,5237661.12543,1,1.0,False,4887605.82401,4.22,350055.301415,23.3148
60881701,60880501,1,1932.66975549,5855894.9567,3.0516,4327318.98436,1,1.0,True,4327318.98436,3.0516,0.0,26.1032
60881702,60880501,1,1977.59675521,6686654.643,2.7664,4979364.48631,1,1.0,True,4979364.48631,2.7664,0.0,25.5328
60881703,60881504,1,1817.90799252,6218563.80978,1.7382,4758668.89554,1,1.0,False,4512239.64888,3.7196,246429.246654,23.4764
60881704,60881504,1,2044.35147417,6305824.74951,2.1188,4777444.17002,1,1.0,False,4591371.89332,3.5942,186072.276709,24.2376
60881705,60881504,1,1943.15172698,6887192.29916,2.4962,5165917.65099,1,1.0,False,5019110.25994,3.562,146807.391049,24.9924
60881801,60881504,1,92.0810318674,210420.163869,1.6294,161478.958795,1,1.0,False,145069.552736,5.1762,16409.4060592,23.2588
60881802,60881504,1,2740.66142793,8868663.64528,1.3542,6854732.03006,1,1.0,False,5958500.35672,5.469,896231.673338,22.7084
60881803,60881504,1,2186.8423104,6013816.3536,1.1578,4671797.1514,1,1.0,False,4240101.35827,4.747,431695.793127,22.3156
60881804,60881504,1,2460.27323385,7474748.10992,0.8676,5850096.65873,1,1.0,False,5146573.36663,5.1912,703523.292106,21.7352
60881805,60881504,1,2093.65509591,7487383.10271,0.5828,5902633.54472,1,1.0,False,5099207.38827,5.316,803426.156453,21.1656
60881901,60881504,1,2265.918457,7674237.80201,2.3224,5782937.24418,1,1.0,False,4795753.99028,6.2514,987183.253899,24.6448
60881902,60881504,1,1820.68985871,5865907.92908,2.002,4457855.38978,1,1.0,False,3636557.88882,6.3342,821297.500966,24.004
60881903,60881504,1,2619.67280583,8474102.31765,1.4132,6539769.82621,1,1.0,False,5326922.4061,6.1898,1212847.42011,22.8264
60882001,60882102,1,2026.41487494,5205169.17898,2.1632,3938938.90383,1,1.0,False,3082459.54644,6.7968,856479.357386,24.3264
60882002,60882102,1,1932.84524023,5022032.43887,1.3026,3886791.962,1,1.0,False,2809606.18012,7.3424,1077185.78188,22.6052
60882101,60882102,1,2160.49707969,6825556.97309,1.0438,5317955.2511,1,1.0,False,4083976.45705,6.6944,1233978.79405,22.0876
60882102,60882102,1,3118.13599302,9676819.99429,0.0,7741455.99543,1,1.0,False,5354184.50284,7.445,2387271.49259,20.0
60882103,60882102,1,2658.32650201,7477743.11166,1.0684,5822410.07452,1,1.0,False,4491431.62259,6.656,1330978.45193,22.1368
60882104,60882102,1,1654.81128754,4524659.49072,0.6752,3558626.59082,1,1.0,False,2403426.72692,7.8136,1155199.8639,21.3504
60882201,60881504,1,1275.78168274,3321049.78368,3.3696,2433027.63993,1,1.0,False,2355567.47477,4.5358,77460.1651546,26.7392
60882202,60881504,1,2703.03234141,9621003.38099,2.2258,7268514.11828,1,1.0,False,6851924.67189,4.3908,416589.446397,24.4516
60882203,60881504,1,2709.01612623,7902982.00129,2.799,5879976.6686,1,1.0,False,5717870.70179,3.8246,162105.96681,25.598
60882301,60881504,1,1439.51019007,4597305.81482,2.7666,3423466.52651,1,1.0,False,3095586.6758,5.4442,327879.850713,25.5332
60882302,60881504,1,2046.42931362,6327611.56369,2.519,4743304.18038,1,1.0,False,4266531.30428,5.4288,476772.876101,25.038
60882303,60881504,1,2528.85561552,6954352.94268,2.285,5245668.42466,1,1.0,False,4680863.69607,5.4486,564804.728593,24.57
60882304,60881504,1,2681.9434551,9239382.44192,2.0064,7020748.0149,1,1.0,False,6482313.76372,4.9202,538434.251185,24.0128
60882401,60882102,1,1949.1046751,5659109.19694,3.2508,4159354.71401,1,1.0,False,3756561.9578,5.6032,402792.756202,26.5016
60882402,60882102,1,2508.94507726,8474507.70059,3.098,6254525.66335,1,1.0,False,5657377.95273,5.5404,597147.710615,26.196
60882501,60882102,1,1955.03965722,7032605.80196,2.2364,5311530.24926,1,1.0,False,4224570.69651,6.6548,1086959.55275,24.4728
60882502,60882102,1,2535.82912382,8765762.51593,1.8834,6682421.2703,1,1.0,False,5213945.67058,6.7532,1468475.59972,23.7668
60882503,60882102,1,2013.53891242,6673796.34266,2.0542,5064850.82519,1,1.0,False,4075740.81684,6.4882,989110.008354,24.1084
60882504,60882102,1,3187.40181634,10029653.5398,2.277,7566972.40967,1,1.0,False,6264802.43129,6.2562,1302169.97838,24.554
60882601,60882102,1,1636.81115212,5031478.92284,1.6404,3860110.37777,1,1.0,False,3042696.31196,6.5878,817414.065804,23.2808
60882602,60882102,1,1863.09158599,5338072.04274,1.428,4118002.29665,1,1.0,False,2869576.71187,7.7072,1248425.58478,22.856
60882603,60882102,1,2066.46197204,6054502.12648,1.297,4686547.91602,1,1.0,False,3376402.09187,7.3722,1310145.82415,22.594
60882701,60882102,1,1800.55686239,5245739.40331,3.013,3880483.2662,1,1.0,False,3658735.37015,5.0422,221747.896057,26.026
60882702,60882102,1,2155.17971771,5496409.66592,3.1224,4053887.94192,1,1.0,False,3901571.43726,4.508,152316.504662,26.2448
60882703,60882102,1,1985.30897113,5329064.11634,1.6118,4091463.58222,1,1.0,False,3439633.77577,5.9092,651829.806455,23.2236
60882704,60882902,1,2916.73405381,7980019.43311,3.7604,5783854.24497,1,1.0,True,5783854.24497,3.7604,0.0,27.5208
60882705,60882102,1,2018.67208642,5236696.88882,2.4488,3932885.04423,1,1.0,False,3660849.11425,5.0154,272035.92998,24.8976
60882801,60882902,1,2964.28123791,9004241.65228,3.6442,6547128.17324,1,1.0,True,6547128.17324,3.6442,0.0,27.2884
60882802,60882902,1,4001.80867825,10783328.2817,1.5174,8299410.17869,1,1.0,True,8299410.17869,1.5174,0.0,23.0348
60882803,60882902,1,2933.29680756,8821626.2374,2.971,6533119.95889,1,1.0,True,6533119.95889,2.971,0.0,25.942
60882804,60882902,1,2774.57212955,7466410.9499,3.0766,5513705.56135,1,1.0,True,5513705.56135,3.0766,0.0,26.1532
60882805,60882902,1,2909.10048098,7731339.31236,2.3986,5814183.6404,1,1.0,True,5814183.6404,2.3986,0.0,24.7972
60882901,60882902,1,2049.91336637,5047213.27803,1.3014,3906401.75522,1,1.0,True,3906401.75522,1.3014,0.0,22.6028
60882902,60882902,1,3994.38706367,12122784.1049,0.0,9698227.28394,1,1.0,True,9698227.28394,0.0,0.0,20.0
60882903,60882902,1,3253.70659349,8947693.1321,0.414,7084067.60654,1,1.0,True,7084067.60654,0.414,0.0,20.828
60882904,60882902,1,2210.17488487,6526127.41644,0.822,5113612.39843,1,1.0,True,5113612.39843,0.822,0.0,21.644
60882905,60882902,1,1877.40390163,5279115.0616,1.853,4027648.0451,1,1.0,True,4027648.0451,1.853,0.0,23.706
60882906,60882902,1,2834.98809942,8905964.37935,0.797,6982810.43128,1,1.0,True,6982810.43128,0.797,0.0,21.594
60883001,60882902,1,579.66402076,1303762.82168,3.5408,950682.989361,1,1.0,True,950682.989361,3.5408,0.0,27.0816
60883002,60882902,1,2870.62819765,9500567.69434,2.662,7094643.93143,1,1.0,True,7094643.93143,2.662,0.0,25.324
60883003,60882902,1,3181.22326023,11247119.8522,2.8568,8355080.4419,1,1.0,True,8355080.4419,2.8568,0.0,25.7136
60883101,60882902,1,3005.07645749,7351051.30171,3.2998,5395701.05966,1,1.0,True,5395701.05966,3.2998,0.0,26.5996
60883102,60882902,1,2457.51558132,5687597.3275,1.8316,4341729.7967,1,1.0,True,4341729.7967,1.8316,0.0,23.6632
60883201,60882102,1,2878.3844504,6734150.43284,3.7144,4887053.77891,1,1.0,False,4714955.83045,4.9922,172097.948462,27.4288
60883202,60882102,1,3043.29822787,7123649.49514,4.9552,4992937.43655,1,1.0,False,4030931.31412,7.2358,962006.122422,29.9104
60883301,60883701,1,3806.10246644,8624030.30085,7.5058,4740215.50292,1,0.849652,True,4740215.50292,7.5058,0.0,45.0348
60883401,60882102,1,2127.74732921,5129838.55903,2.4346,3854088.74811,1,1.0,False,2975121.69005,7.0006,878967.058058,24.8692
60883402,60882102,1,2058.2171001,5246308.73873,3.554,3824139.36583,1,1.0,False,3299088.78726,6.186,525050.578572,27.108
60883403,60883701,1,1765.26397297,4295763.94249,4.7758,3026296.96526,1,1.0,True,3026296.96526,4.7758,0.0,29.5516
60883501,60883701,1,1906.08623184,4303689.61061,4.4514,3059802.80984,1,1.0,True,3059802.80984,4.4514,0.0,28.9028
60883601,60883701,1,2962.53797919,6923786.32899,3.4226,5065082.0414,1,1.0,True,5065082.0414,3.4226,0.0,26.8452
60883602,60882102,1,2579.31106361,6126889.13775,2.9514,4539853.29817,1,1.0,False,3982012.29596,5.8346,557841.002213,25.9028
60883701,60883701,1,3837.24997804,8783009.93988,0.0,7026407.9519,1,1.0,True,7026407.9519,0.0,0.0,20.0
60883801,60880702,1,2855.86353091,6605852.26084,4.136,4738245.70965,1,1.0,False,4710712.51743,4.3444,27533.1922232,28.272
