geo_code,REG,DEP,COM,city,population,geo_x,geo_y,area,population_density,relative_population_density,personal_income,retail_market
60881204,93,6,6088,Nice,3625.3794978,7.246175938915848,43.73092463147838,0.3654898372884333,9919.234758199207,0.1985843038875964,2915.186633217828,10568657.85232852
60881301,93,6,6088,Nice,2347.42881696,7.253871302051655,43.71695049243522,0.06910244323386928,33970.27235369083,0.6800890444349613,3004.810780575707,7053579.415835487
60881302,93,6,6088,Nice,2414.88486413,7.25582392124863,43.71855531340893,0.1047558168154788,23052.51333569073,0.4615141616487729,3469.282406496358,8377917.572840557
60881303,93,6,6088,Nice,2211.66630447,7.255785114750645,43.72138978871202,0.07033919983136082,31442.86983321533,0.6294901340948755,3112.333465048389,6883443.052921881
60881304,93,6,6088,Nice,1803.74616654,7.2536381448492,43.72385072453144,0.1239421421334889,14553.13048081191,0.2913554680746426,3230.608591453785,5827197.862425954
60881305,93,6,6088,Nice,2390.53157737,7.252136435908373,43.7221951434778,0.1268440407155274,18846.22694046175,0.3773037889627192,3522.832882473245,8421443.24734967
60881306,93,6,6088,Nice,1677.04931339,7.251361664477146,43.71708078852382,0.1164212108565069,14405.01521202198,0.2883901821161204,3220.526619194809,5400981.955474873
60881307,93,6,6088,Nice,2223.1781405,7.24676392713673,43.72248570176863,0.2788258112450294,7973.358458361276,0.1596276202447102,2782.733908832015,6186513.196943455
60881308,93,6,6088,Nice,2061.43699505,7.243899002918791,43.72619114137283,0.2322981897819553,8874.098403370901,0.1776605450946471,2844.0458533218,5862821.337656105
60881309,93,6,6088,Nice,2518.88832536,7.249768861244487,43.72231106776751,0.06395936682977259,39382.63385352147,0.7884451895441857,2774.553972218605,6988791.60870266
60881401,93,6,6088,Nice,2209.24864102,7.256438597878768,43.71441989300693,0.1256115365811165,17587.94376019218,0.3521128044222275,3437.183535035574,7593593.053713661
60881402,93,6,6088,Nice,2298.55165169,7.257027024850916,43.71145332542378,0.08857918986394743,25949.11575981271,0.5195044996189386,3346.052938309756,7691075.507994067
60881403,93,6,6088,Nice,2206.69884731,7.253046303393817,43.71242968472678,0.1571386821937705,14043.00212082013,0.2811426353580309,3195.884960217305,7052355.657846892
60881404,93,6,6088,Nice,1652.46584277,7.24991917834429,43.71168021114578,0.1745239262366842,9468.42005221092,0.1895589378434089,2884.50038866759,4766538.365729983
60881501,93,6,6088,Nice,1873.98377919,7.265873816859593,43.70764147672737,0.05999509111694312,31235.61851980872,0.6253409372257701,3121.150508395239,5848985.4251433
60881502,93,6,6088,Nice,1995.71334527,7.2641237258854,43.70940275321195,0.07994447341838773,24963.74370777922,0.4997772295428258,3387.973387221496,6761423.702297544
