Pool,Skill,Task,Quantity
Sta02_Plumb,SKILL,Plane1_2BJ430-02-401C,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-402C,1
Sta02_Elec,SKILL,Plane1_2BJ430-02-407W,1
Sta02_Elec,SKILL,Plane1_2BJ430-02-409W,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-524Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-526Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-528Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-605YA,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-607YA,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-608Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-613YA,1
Sta02_Struct,SKILL,Plane1_2BJ430-02-672C,1
Sta02_Struct,SKILL,Plane1_2BJ430-02-673C,1
Sta02_Elec,SKILL,Plane1_2BJ430-02-764W,1
Sta02_Test,SKILL,Plane1_2BJ430-02-8A30,1
Sta02_Test,SKILL,Plane1_2BJ430-02-8A38A,1
Sta02_Test,SKILL,Plane1_2BJ430-02-8A43,1
Sta02_Test,SKILL,Plane1_2BJ430-02-8A51,1
Sta02_Test,SKILL,Plane1_2BJ430-02-8A52,1
Sta02_Test,SKILL,Plane1_2BJ430-02-8A53,1
Sta02_Test,SKILL,Plane1_2BJ430-02-8B30,1
Sta02_Test,SKILL,Plane1_2BJ430-02-8B38,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-908UA,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-909UA,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-910UA,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-911UA,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-912U,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-914U,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-952C,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-953C,1
Sta02_Elec,SKILL,Plane1_2BJ430-02-956W,2
Sta02_Elec,SKILL,Plane1_2BJ430-02-959W,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-974U,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-978U,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-981YA,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-982YA,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-983YA,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-984YA,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-988U,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-993U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-045C,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-046C,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-057C,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-058C,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-059C,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-060C,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-061C,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-062C,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-065W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-066W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-067W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-068W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-069W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-070W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-072W,1
