id_of_Task,taskStartVar,taskEndVar,taskDurationVar,taskStartVarDate,taskEndVarDate,taskAbsenceVar,taskPresenceVar
Plane5_2BJ430-02-8A53,2769117.0,2813037.0,43920.0,2017-12-09 07:11:57,2017-12-09 19:23:57,0,1
Plane5_2BJ430-02-8B30,2574360.0,2585160.0,10800.0,2017-12-07 01:06:00,2017-12-07 04:06:00,0,1
Plane5_2BJ430-02-8B38,2788557.0,2815557.0,27000.0,2017-12-09 12:35:57,2017-12-09 20:05:57,0,1
Plane5_2BJ430-02-908UA,2510640.0,2516400.0,5760.0,2017-12-06 07:24:00,2017-12-06 09:00:00,0,1
Plane5_2BJ430-02-909UA,2541960.0,2554560.0,12600.0,2017-12-06 16:06:00,2017-12-06 19:36:00,0,1
Plane5_2BJ430-02-910UA,2495160.0,2510640.0,15480.0,2017-12-06 03:06:00,2017-12-06 07:24:00,0,1
Plane5_2BJ430-02-911UA,2554560.0,2574360.0,19800.0,2017-12-06 19:36:00,2017-12-07 01:06:00,0,1
Plane5_2BJ430-02-912U,2559960.0,2595960.0,36000.0,2017-12-06 21:06:00,2017-12-07 07:06:00,0,1
Plane5_2BJ430-02-914U,2541240.0,2559960.0,18720.0,2017-12-06 15:54:00,2017-12-06 21:06:00,0,1
Plane5_2BJ430-02-952C,2394000.0,2402640.0,8640.0,2017-12-04 23:00:00,2017-12-05 01:24:00,0,1
Plane5_2BJ430-02-953C,2394000.0,2402640.0,8640.0,2017-12-04 23:00:00,2017-12-05 01:24:00,0,1
Plane5_2BJ430-02-956W,2420280.0,2453040.0,32760.0,2017-12-05 06:18:00,2017-12-05 15:24:00,0,1
Plane5_2BJ430-02-959W,2403720.0,2420280.0,16560.0,2017-12-05 01:42:00,2017-12-05 06:18:00,0,1
Plane5_2BJ430-02-974U,2559960.0,2577960.0,18000.0,2017-12-06 21:06:00,2017-12-07 02:06:00,0,1
Plane5_2BJ430-02-978U,2595960.0,2622960.0,27000.0,2017-12-07 07:06:00,2017-12-07 14:36:00,0,1
